id,state_name,district_name,name,state_lgd_code,district_lgd_code,source,is_active
692,Tamil Nadu,Thoothukudi,Thoothukudi,,,manual_pilot,True
697,Tamil Nadu,Tiruvallur,Tiruvallur,,,manual_pilot,True
699,Tamil Nadu,Tiruvarur,Tiruvarur,,,manual_pilot,True
708,Telangana,Jagtial,Jagtial,,,manual_pilot,True
709,Telangana,Jangaon,Jangaon,,,manual_pilot,True
710,Telangana,Jayashankar Bhupalpally,Jayashankar Bhupalpally,,,manual_pilot,True
715,Telangana,Kumuram Bheem,Kumuram Bheem,,,manual_pilot,True
729,Telangana,Rangareddy,Rangareddy,,,manual_pilot,True
119,Uttar Pradesh,Badaun,Badaun,,,manual_pilot,True
120,Uttar Pradesh,Bagpat,Bagpat,,,manual_pilot,True
125,Uttar Pradesh,Barabanki,Barabanki,,,manual_pilot,True
157,Uttar Pradesh,Lakhimpur Kheri,Lakhimpur Kheri,,,manual_pilot,True
160,Uttar Pradesh,Maharajganj,Maharajganj,,,manual_pilot,True
179,Uttar Pradesh,Shravasti,Shravasti,,,manual_pilot,True
756,Uttarakhand,Rudraprayag,Rudraprayag,,,manual_pilot,True
758,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,,,manual_pilot,True
759,Uttarakhand,Uttarkashi,Uttarkashi,,,manual_pilot,True
