state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,last_updated
9,Uttar Pradesh,9,129,Bara Banki,176,897,Ramnagar,897,07-10-2024
9,Uttar Pradesh,9,129,Bara Banki,176,899,Sirauli Gauspur,899,07-10-2024
9,Uttar Pradesh,9,129,Bara Banki,176,896,Fatehpur,896,07-10-2024
9,Uttar Pradesh,9,129,Bara Banki,176,898,Nawabganj,898,07-10-2024
9,Uttar Pradesh,9,130,Bareilly,150,788,Nawabganj,788,07-10-2024
9,Uttar Pradesh,9,130,Bareilly,150,786,Aonla,786,07-10-2024
9,Uttar Pradesh,9,130,Bareilly,150,789,Faridpur,789,07-10-2024
9,Uttar Pradesh,9,130,Bareilly,150,785,Meerganj,785,07-10-2024
9,Uttar Pradesh,9,130,Bareilly,150,787,Bareilly,787,07-10-2024
9,Uttar Pradesh,9,130,Bareilly,150,784,Baheri,784,07-10-2024
9,Uttar Pradesh,9,131,Basti,185,939,Basti,939,07-10-2024
9,Uttar Pradesh,9,131,Basti,185,940,Rudhauli,940,07-10-2024
9,Uttar Pradesh,9,131,Basti,185,938,Harraiya,938,07-10-2024
9,Uttar Pradesh,9,131,Basti,185,937,Bhanpur,937,07-10-2024
9,Uttar Pradesh,9,179,Bhadohi,198,997,Bhadohi,997,07-10-2024
9,Uttar Pradesh,9,179,Bhadohi,198,998,Gyanpur,998,07-10-2024
9,Uttar Pradesh,9,179,Bhadohi,198,999,Aurai,999,07-10-2024
9,Uttar Pradesh,9,132,Bijnor,134,716,Chandpur,716,07-10-2024
9,Uttar Pradesh,9,132,Bijnor,134,715,Dhampur,715,07-10-2024
9,Uttar Pradesh,9,132,Bijnor,134,714,Nagina,714,07-10-2024
9,Uttar Pradesh,9,132,Bijnor,134,712,Najibabad,712,07-10-2024
9,Uttar Pradesh,9,132,Bijnor,134,713,Bijnor,713,07-10-2024
9,Uttar Pradesh,9,133,Budaun,149,783,Dataganj,783,07-10-2024
9,Uttar Pradesh,9,133,Budaun,149,780,Bilsi,780,07-10-2024
9,Uttar Pradesh,9,133,Budaun,149,779,Bisauli,779,07-10-2024
9,Uttar Pradesh,9,133,Budaun,149,782,Budaun,782,07-10-2024
9,Uttar Pradesh,9,133,Budaun,149,781,Sahaswan,781,07-10-2024
9,Uttar Pradesh,9,134,Bulandshahr,142,748,Anupshahr,748,07-10-2024
9,Uttar Pradesh,9,134,Bulandshahr,142,745,Sikandrabad,745,07-10-2024
9,Uttar Pradesh,9,134,Bulandshahr,142,746,Bulandshahr,746,07-10-2024
9,Uttar Pradesh,9,134,Bulandshahr,142,749,Debai,749,07-10-2024
9,Uttar Pradesh,9,134,Bulandshahr,142,751,Khurja,751,07-10-2024
9,Uttar Pradesh,9,134,Bulandshahr,142,750,Shikarpur,750,07-10-2024
9,Uttar Pradesh,9,134,Bulandshahr,142,747,Siana,747,07-10-2024
9,Uttar Pradesh,9,135,Chandauli,196,994,Chakia,994,07-10-2024
9,Uttar Pradesh,9,135,Chandauli,196,6870,Naugarh,0,07-10-2024
9,Uttar Pradesh,9,135,Chandauli,196,993,Chandauli,993,07-10-2024
9,Uttar Pradesh,9,135,Chandauli,196,6869,Pandit Deendayal Upadhyay Nagar,0,07-10-2024
9,Uttar Pradesh,9,135,Chandauli,196,992,Sakaldiha,992,07-10-2024
9,Uttar Pradesh,9,136,Chitrakoot,171,5930,Manikpur,0,07-10-2024
9,Uttar Pradesh,9,136,Chitrakoot,171,876,Mau,876,07-10-2024
9,Uttar Pradesh,9,136,Chitrakoot,171,6156,Rajapur,0,07-10-2024
9,Uttar Pradesh,9,136,Chitrakoot,171,875,Karwi,875,07-10-2024
9,Uttar Pradesh,9,137,Deoria,190,963,Bhatpar Rani,963,07-10-2024
9,Uttar Pradesh,9,137,Deoria,190,960,Rudrapur,960,07-10-2024
9,Uttar Pradesh,9,137,Deoria,190,962,Salempur,962,07-10-2024
9,Uttar Pradesh,9,137,Deoria,190,961,Barhaj,961,07-10-2024
9,Uttar Pradesh,9,137,Deoria,190,959,Deoria,959,07-10-2024
9,Uttar Pradesh,9,138,Etah,201,1008,Etah,1008,07-10-2024
9,Uttar Pradesh,9,138,Etah,201,1009,Jalesar,1009,07-10-2024
9,Uttar Pradesh,9,138,Etah,201,1007,Aliganj,1007,07-10-2024
9,Uttar Pradesh,9,139,Etawah,161,839,Bharthana,839,07-10-2024
9,Uttar Pradesh,9,139,Etawah,161,837,Saifai,837,07-10-2024
9,Uttar Pradesh,9,139,Etawah,161,840,Chakarnagar,840,07-10-2024
9,Uttar Pradesh,9,139,Etawah,161,838,Etawah,838,07-10-2024
9,Uttar Pradesh,9,139,Etawah,161,836,Jaswantnagar,836,07-10-2024
9,Uttar Pradesh,9,139,Etawah,161,6158,Takha,0,07-10-2024
9,Uttar Pradesh,9,141,Farrukhabad,159,831,Amritpur,831,07-10-2024
9,Uttar Pradesh,9,141,Farrukhabad,159,832,Farrukhabad,832,07-10-2024
9,Uttar Pradesh,9,141,Farrukhabad,159,830,Kaimganj,830,07-10-2024
9,Uttar Pradesh,9,142,Fatehpur,172,877,Bindki,877,07-10-2024
9,Uttar Pradesh,9,142,Fatehpur,172,879,Khaga,879,07-10-2024
9,Uttar Pradesh,9,142,Fatehpur,172,878,Fatehpur,878,07-10-2024
9,Uttar Pradesh,9,143,Firozabad,147,774,Shikohabad,774,07-10-2024
9,Uttar Pradesh,9,143,Firozabad,147,6161,Sirsaganj,0,07-10-2024
9,Uttar Pradesh,9,143,Firozabad,147,772,Firozabad,772,07-10-2024
9,Uttar Pradesh,9,143,Firozabad,147,773,Jasrana,773,07-10-2024
9,Uttar Pradesh,9,143,Firozabad,147,771,Tundla,771,07-10-2024
9,Uttar Pradesh,9,144,Gautam Buddha Nagar,141,743,Gautam Buddha Nagar,743,07-10-2024
9,Uttar Pradesh,9,144,Gautam Buddha Nagar,141,742,Dadri,742,07-10-2024
9,Uttar Pradesh,9,144,Gautam Buddha Nagar,141,744,Jewar,744,07-10-2024
9,Uttar Pradesh,9,145,Ghaziabad,140,738,Modinagar,738,07-10-2024
9,Uttar Pradesh,9,145,Ghaziabad,140,6089,Loni,0,07-10-2024
9,Uttar Pradesh,9,145,Ghaziabad,140,739,Ghaziabad,739,07-10-2024
9,Uttar Pradesh,9,146,Ghazipur,195,987,Jakhania,987,07-10-2024
9,Uttar Pradesh,9,146,Ghazipur,195,990,Mohammadabad,990,07-10-2024
9,Uttar Pradesh,9,146,Ghazipur,195,6835,Sewarai,0,07-10-2024
9,Uttar Pradesh,9,146,Ghazipur,195,989,Ghazipur,989,07-10-2024
9,Uttar Pradesh,9,146,Ghazipur,195,6834,Kasimabad,0,07-10-2024
9,Uttar Pradesh,9,146,Ghazipur,195,991,Zamania,991,07-10-2024
9,Uttar Pradesh,9,146,Ghazipur,195,988,Saidpur,988,07-10-2024
9,Uttar Pradesh,9,147,Gonda,183,928,Gonda,928,07-10-2024
9,Uttar Pradesh,9,147,Gonda,183,930,Tarabganj,930,07-10-2024
9,Uttar Pradesh,9,147,Gonda,183,929,Colonelganj,929,07-10-2024
9,Uttar Pradesh,9,147,Gonda,183,931,Mankapur,931,07-10-2024
