stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,localBodyCode,localBodyNameEnglish,localBodyNameLocal,localBodyCensus2011Code,localBodyTypeCode,localBodyTypeName,entityCode,entityName,entityType,coverageType,date_updated
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1704,Narkhi,NARKHI,000000,2,Intermediate Panchayat,772,Firozabad,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2004,Panwasa,PANWASA,000000,2,Intermediate Panchayat,722,Chandausi,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2204,Pindra,PINDRA,000000,2,Intermediate Panchayat,995,Pindra,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1717,Rajapur,RAJAPUR,000000,2,Intermediate Panchayat,739,Ghaziabad,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1960,Raya,RAYA,000000,2,Intermediate Panchayat,763,Mahavan,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2017,Shahpur,SHAHPUR,000000,2,Intermediate Panchayat,709,Budhana,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,296948,Sringverpur Dham,SRINGVERPUR DHAM,000000,2,Intermediate Panchayat,890,Allahabad,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2097,Suriyavan,SURIYAVAN,000000,2,Intermediate Panchayat,999,Aurai,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,1489,Tajwapur,TAJWAPUR,000000,2,Intermediate Panchayat,922,Kaiserganj,Subistrict,Partial,2024-10-14 08:43:46
9,Uttar Pradesh,UTTAR PRADESH                                     ,09,2006,Thakurdwara,THAKURDWARA,000000,2,Intermediate Panchayat,718,Kanth,Subistrict,Partial,2024-10-14 08:43:46
